Time,Pressure,Temperature
363,117.117067492,63.5326234082
364,117.057890095,63.6087145877
365,117.117067492,63.6874066867
366,117.369557722,63.7662481929
367,117.369557722,63.9219068601
368,117.369557722,64.0011962429
369,117.306435165,64.0806379622
370,117.117067492,64.1975957459
371,117.306435165,64.3173853437
372,117.306435165,64.3573927541
373,117.057890095,64.437524468
374,117.306435165,64.5153013011
375,117.369557722,64.6763404832
376,117.68122535,64.757097924
377,117.43268028,64.8354839063
378,117.306435165,65.0384675752
379,117.618102792,65.1173959479
380,117.369557722,65.1581930561
381,117.057890095,65.2808302348
382,117.306435165,65.4012719025
383,116.93164498,65.4423549406
384,117.18019005,65.5658542622
385,117.243312607,65.607104459
386,117.243312607,65.7285205317
387,117.43268028,65.7699369458
388,117.306435165,65.8944415074
389,117.558925395,65.9776584068
390,117.618102792,66.0584388991
391,117.306435165,66.1419954933
392,117.117067492,66.267656665
393,117.117067492,66.3096311806
394,117.369557722,66.4331857326
395,117.306435165,66.4753338355
396,117.43268028,66.559763263
397,117.243312607,66.6020448191
398,117.43268028,66.7265059314
399,117.369557722,66.7689642357
400,117.243312607,66.8966106949
401,117.369557722,66.9392504263
402,117.807470465,67.0647691188
403,117.68122535,67.1504556389
404,117.43268028,67.23632717
405,117.618102792,67.31969257
406,117.618102792,67.405931214
407,117.68122535,67.4923578014
408,117.495802837,67.6223522711
409,117.558925395,67.6630632664
410,117.43268028,67.7065345739
411,117.495802837,67.7936209061
412,117.495802837,67.880899719
413,117.558925395,67.9683720486
414,117.618102792,68.0094416144
415,117.369557722,68.0532963932
416,117.68122535,68.1851546272
417,117.807470465,68.2292057801
418,117.618102792,68.3146956613
419,117.43268028,68.3146956613
420,117.495802837,68.3588923869
421,117.558925395,68.4917820397
422,117.93371558,68.5361788701
423,117.618102792,68.6251237727
424,117.618102792,68.7114823163
425,117.744347907,68.7561291831
426,117.807470465,68.8455762177
427,117.870593022,68.935228592
428,117.558925395,69.0222762146
429,117.68122535,69.067280175
430,117.744347907,69.1574443563
431,117.558925395,69.2478178491
432,117.618102792,69.2478178491
433,117.807470465,69.3355678718
434,117.558925395,69.4263568596
435,117.807470465,69.4718310779
436,117.870593022,69.6085744173
437,117.807470465,69.654262925
438,117.744347907,69.742938065
439,117.870593022,69.8346872884
440,118.056015535,69.9266547096
441,118.056015535,69.9266547096
442,117.870593022,70.0188415637
443,117.807470465,70.062130041
444,117.68122535,70.1546414467
445,117.68122535,70.1546414467
446,117.68122535,70.200980517
447,117.807470465,70.2473753765
448,117.807470465,70.3403330998
449,117.870593022,70.3868962836
450,117.93371558,70.4772731763
451,117.870593022,70.6176322707
452,117.744347907,70.6645328834
453,117.807470465,70.6645328834
454,117.744347907,70.7114908943
455,117.93371558,70.8497635745
456,117.744347907,70.8497635745
457,117.870593022,70.8969492056
458,117.870593022,70.9441930587
459,117.870593022,71.0862756412
460,118.056015535,71.0862756412
