Time,Temperature,Pressure,Time,Temperature,Pressure
331,65.8191741215,117.365612562,,,
332,65.8606836033,117.117067492,,,
333,65.9438308335,117.365612562,,,
334,66.0245434919,117.618102792,,,
335,66.1080297083,117.554980235,,,
336,66.2335846307,117.365612562,,,
337,66.3595329691,117.554980235,,,
338,66.4410851276,117.744347907,,,
339,66.5254423444,117.302490005,,,
340,66.567687654,117.365612562,,,
341,66.6523122555,117.554980235,,,
342,66.7371162784,117.807470465,,,
343,66.819442161,117.870593022,,,
344,66.947250455,117.618102792,,,
345,66.9899444151,117.554980235,,,
346,67.0754698494,117.618102792,,,
347,67.1611794424,117.491857677,,,
348,67.2443871464,117.117067492,,,
349,67.2443871464,117.302490005,,,
350,67.3735697514,117.365612562,,,
351,67.4167242388,117.554980235,,,
352,67.459925743,117.302490005,,,
353,67.5031743895,117.302490005,,,
354,67.5898136117,117.42873512,,,
355,67.6739266131,117.554980235,,,
356,67.7609410306,117.554980235,,,
357,67.8045202103,117.870593022,,,
358,67.8045202103,117.554980235,,,
359,67.9355471811,117.744347907,,,
360,67.9793197484,117.491857677,,,
361,68.0642677225,117.744347907,,,
362,68.1081836404,117.618102792,,,
363,68.1521486183,117.42873512,,,
364,68.284339243,117.554980235,,,
365,68.3285017942,117.302490005,,,
366,68.3727140747,117.42873512,,,
367,68.4169762196,117.618102792,,,
368,68.4612883649,117.807470465,,,
369,68.5472859423,118.119138092,,,
370,68.6362561065,117.93371558,,,
371,68.7254289864,118.056015535,,,
372,68.8148056957,117.807470465,,,
373,68.8595708369,117.870593022,,,
374,68.8595708369,117.870593022,,,
375,68.9913661037,118.245383207,,,
376,69.0363343708,118.245383207,,,
377,69.1264268687,118.245383207,,,
378,69.1715513877,117.992892977,,,
379,69.2619576904,117.870593022,,,
380,69.3072397658,117.870593022,,,
381,69.3525746524,118.18226065,,,
382,69.4405618311,117.870593022,,,
383,69.4860527046,117.42873512,,,
384,69.5315969725,117.807470465,,,
385,69.6228462899,117.870593022,,,
